frame,timestamp,j1,j2,j3,j4,j5,j6,gripper,action_j1,action_j2,action_j3,action_j4,action_j5,action_j6,action_gripper
41,1.366667,0.09187754988670349,0.9741427302360535,-0.5326002240180969,0.01146070845425129,-0.35749733448028564,-0.24625694751739502,0.0,0.09187754988670349,0.9912552833557129,-0.5125744938850403,0.01146070845425129,-0.40067124366760254,-0.2629857361316681,0.0
42,1.400000,0.09187754988670349,0.9912552833557129,-0.5125744938850403,0.01146070845425129,-0.40067124366760254,-0.2629857361316681,0.0,0.09187754988670349,1.0072863101959229,-0.49804365634918213,0.01146070845425129,-0.42886075377464294,-0.2769409418106079,0.0
43,1.433333,0.09187754988670349,1.0072863101959229,-0.49804365634918213,0.01146070845425129,-0.42886075377464294,-0.2769409418106079,0.0,0.09187754988670349,1.0226370096206665,-0.4913800358772278,0.01146070845425129,-0.4480665922164917,-0.29368719458580017,0.0017000000225380063
44,1.466667,0.09187754988670349,1.0226370096206665,-0.4913800358772278,0.01146070845425129,-0.4480665922164917,-0.29368719458580017,0.0017000000225380063,0.09187754988670349,1.0383541584014893,-0.4912753701210022,0.01146070845425129,-0.4550965130329132,-0.30727607011795044,0.006200000178068876
45,1.500000,0.09187754988670349,1.0383541584014893,-0.4912753701210022,0.01146070845425129,-0.4550965130329132,-0.30727607011795044,0.006200000178068876,0.09187754988670349,1.0500938892364502,-0.4912753701210022,0.01146070845425129,-0.4652663767337799,-0.31434088945388794,0.012799999676644802
46,1.533333,0.09187754988670349,1.0500938892364502,-0.4912753701210022,0.01146070845425129,-0.4652663767337799,-0.31434088945388794,0.012799999676644802,0.09187754988670349,1.0591299533843994,-0.4912753701210022,0.01583915203809738,-0.4699064791202545,-0.3223651051521301,0.022600000724196434
47,1.566667,0.09187754988670349,1.0591299533843994,-0.4912753701210022,0.01583915203809738,-0.4699064791202545,-0.3223651051521301,0.022600000724196434,0.09187754988670349,1.068305492401123,-0.4912753701210022,0.020147819072008133,-0.4714415371417999,-0.33607611060142517,0.03060000017285347
48,1.600000,0.09187754988670349,1.068305492401123,-0.4912753701210022,0.020147819072008133,-0.4714415371417999,-0.33607611060142517,0.03060000017285347,0.09187754988670349,1.0794695615768433,-0.4912753701210022,0.027561519294977188,-0.4714415371417999,-0.35043251514434814,0.04230000078678131
49,1.633333,0.09187754988670349,1.0794695615768433,-0.4912753701210022,0.027561519294977188,-0.4714415371417999,-0.35043251514434814,0.04230000078678131,0.09187754988670349,1.0922386646270752,-0.4912753701210022,0.035132214426994324,-0.4714415371417999,-0.36199790239334106,0.050599999725818634
50,1.666667,0.09187754988670349,1.0922386646270752,-0.4912753701210022,0.035132214426994324,-0.4714415371417999,-0.36199790239334106,0.050599999725818634,0.09187754988670349,1.1041877269744873,-0.4912753701210022,0.05550680682063103,-0.4714415371417999,-0.3820933699607849,0.06120000034570694
51,1.700000,0.09187754988670349,1.1041877269744873,-0.4912753701210022,0.05550680682063103,-0.4714415371417999,-0.3820933699607849,0.06120000034570694,0.09187754988670349,1.1177592277526855,-0.4912753701210022,0.07408466935157776,-0.4714415371417999,-0.39726966619491577,0.06849999725818634
52,1.733333,0.09187754988670349,1.1177592277526855,-0.4912753701210022,0.07408466935157776,-0.4714415371417999,-0.39726966619491577,0.06849999725818634,0.09187754988670349,1.1348543167114258,-0.4912753701210022,0.08898184448480606,-0.4714415371417999,-0.40853849053382874,0.07460000365972519
53,1.766667,0.09187754988670349,1.1348543167114258,-0.4912753701210022,0.08898184448480606,-0.4714415371417999,-0.40853849053382874,0.07460000365972519,0.09187754988670349,1.1510249376296997,-0.4912753701210022,0.09426737576723099,-0.4714415371417999,-0.42092370986938477,0.07769999653100967
54,1.800000,0.09187754988670349,1.1510249376296997,-0.4912753701210022,0.09426737576723099,-0.4714415371417999,-0.42092370986938477,0.07769999653100967,0.09187754988670349,1.170230746269226,-0.4912753701210022,0.09850626438856125,-0.4714415371417999,-0.4246044158935547,0.0786999985575676
55,1.833333,0.09187754988670349,1.170230746269226,-0.4912753701210022,0.09850626438856125,-0.4714415371417999,-0.4246044158935547,0.0786999985575676,0.09187754988670349,1.1872037649154663,-0.4912753701210022,0.10103564709424973,-0.47827959060668945,-0.4260348081588745,0.07919999957084656
56,1.866667,0.09187754988670349,1.1872037649154663,-0.4912753701210022,0.10103564709424973,-0.47827959060668945,-0.4260348081588745,0.07919999957084656,0.09187754988670349,1.2040895223617554,-0.4912753701210022,0.10103564709424973,-0.4872632622718811,-0.4269419014453888,0.07940000295639038
57,1.900000,0.09187754988670349,1.2040895223617554,-0.4912753701210022,0.10103564709424973,-0.4872632622718811,-0.4269419014453888,0.07940000295639038,0.09187754988670349,1.2201380729675293,-0.4912753701210022,0.1027451604604721,-0.49954381585121155,-0.4284595251083374,0.07940000295639038
58,1.933333,0.09187754988670349,1.2201380729675293,-0.4912753701210022,0.1027451604604721,-0.49954381585121155,-0.4284595251083374,0.07940000295639038,0.09187754988670349,1.237983226776123,-0.4912753701210022,0.1027451604604721,-0.5119988322257996,-0.4284595251083374,0.07940000295639038
59,1.966667,0.09187754988670349,1.237983226776123,-0.4912753701210022,0.1027451604604721,-0.5119988322257996,-0.4284595251083374,0.07940000295639038,0.09187754988670349,1.2529152631759644,-0.4912753701210022,0.1027451604604721,-0.5290416479110718,-0.4284595251083374,0.07940000295639038
60,2.000000,0.09187754988670349,1.2529152631759644,-0.4912753701210022,0.1027451604604721,-0.5290416479110718,-0.4284595251083374,0.07940000295639038,0.09187754988670349,1.2679868936538696,-0.4912753701210022,0.1027451604604721,-0.5454390048980713,-0.4284595251083374,0.07940000295639038
61,2.033333,0.09187754988670349,1.2679868936538696,-0.4912753701210022,0.1027451604604721,-0.5454390048980713,-0.4284595251083374,0.07940000295639038,0.09187754988670349,1.2825525999069214,-0.4912753701210022,0.1027451604604721,-0.5666508674621582,-0.4291747212409973,0.07940000295639038
62,2.066667,0.09187754988670349,1.2825525999069214,-0.4912753701210022,0.1027451604604721,-0.5666508674621582,-0.4291747212409973,0.07940000295639038,0.09187754988670349,1.298827886581421,-0.4912753701210022,0.1027451604604721,-0.5846356749534607,-0.4339194893836975,0.07940000295639038
63,2.100000,0.09187754988670349,1.298827886581421,-0.4912753701210022,0.1027451604604721,-0.5846356749534607,-0.4339194893836975,0.07940000295639038,0.09187754988670349,1.3115620613098145,-0.4912753701210022,0.1027451604604721,-0.6000038385391235,-0.43353572487831116,0.07940000295639038
64,2.133333,0.09187754988670349,1.3115620613098145,-0.4912753701210022,0.1027451604604721,-0.6000038385391235,-0.43353572487831116,0.07940000295639038,0.09187754988670349,1.3254997730255127,-0.4912753701210022,0.09683164209127426,-0.6138718128204346,-0.43353572487831116,0.07940000295639038
65,2.166667,0.09187754988670349,1.3254997730255127,-0.4912753701210022,0.09683164209127426,-0.6138718128204346,-0.43353572487831116,0.07940000295639038,0.09187754988670349,1.3350067138671875,-0.4912753701210022,0.08962727338075638,-0.6197329759597778,-0.43353572487831116,0.07940000295639038
66,2.200000,0.09187754988670349,1.3350067138671875,-0.4912753701210022,0.08962727338075638,-0.6197329759597778,-0.43353572487831116,0.07940000295639038,0.09187754988670349,1.3481769561767578,-0.4912753701210022,0.07860266417264938,-0.6222798228263855,-0.43439048528671265,0.07940000295639038
67,2.233333,0.09187754988670349,1.3481769561767578,-0.4912753701210022,0.07860266417264938,-0.6222798228263855,-0.43439048528671265,0.07940000295639038,0.09187754988670349,1.3585561513900757,-0.49338608980178833,0.0714157372713089,-0.6217564940452576,-0.43606510758399963,0.07940000295639038
68,2.266667,0.09187754988670349,1.3585561513900757,-0.49338608980178833,0.0714157372713089,-0.6217564940452576,-0.43606510758399963,0.07940000295639038,0.09187754988670349,1.3699994087219238,-0.49779942631721497,0.06897357851266861,-0.6217564940452576,-0.4337799549102783,0.07940000295639038
69,2.300000,0.09187754988670349,1.3699994087219238,-0.49779942631721497,0.06897357851266861,-0.6217564940452576,-0.4337799549102783,0.07940000295639038,0.09187754988670349,1.3779364824295044,-0.5052480101585388,0.06653141230344772,-0.6217564940452576,-0.42809319496154785,0.07940000295639038
70,2.333333,0.09187754988670349,1.3779364824295044,-0.5052480101585388,0.06653141230344772,-0.6217564940452576,-0.42809319496154785,0.07940000295639038,0.09629087895154953,1.3890831470489502,-0.513411819934845,0.06464746594429016,-0.6252104043960571,-0.42561614513397217,0.07940000295639038
71,2.366667,0.09629087895154953,1.3890831470489502,-0.513411819934845,0.06464746594429016,-0.6252104043960571,-0.42561614513397217,0.07940000295639038,0.10468144714832306,1.399375081062317,-0.5230932235717773,0.06464746594429016,-0.6275304555892944,-0.42561614513397217,0.07940000295639038
72,2.400000,0.10468144714832306,1.399375081062317,-0.5230932235717773,0.06464746594429016,-0.6275304555892944,-0.42561614513397217,0.07940000295639038,0.11017630249261856,1.40998113155365,-0.5333677530288696,0.06464746594429016,-0.6275304555892944,-0.42561614513397217,0.07940000295639038
73,2.433333,0.11017630249261856,1.40998113155365,-0.5333677530288696,0.06464746594429016,-0.6275304555892944,-0.42561614513397217,0.07940000295639038,0.11697946488857269,1.4215813875198364,-0.5432759523391724,0.06464746594429016,-0.6275304555892944,-0.42561614513397217,0.07940000295639038
74,2.466667,0.11697946488857269,1.4215813875198364,-0.5432759523391724,0.06464746594429016,-0.6275304555892944,-0.42561614513397217,0.07940000295639038,0.1185494214296341,1.4316813945770264,-0.5542133450508118,0.06299028545618057,-0.6275304555892944,-0.42561614513397217,0.07940000295639038
75,2.500000,0.1185494214296341,1.4316813945770264,-0.5542133450508118,0.06299028545618057,-0.6275304555892944,-0.42561614513397217,0.07940000295639038,0.1208171471953392,1.4406999349594116,-0.5640692114830017,0.06299028545618057,-0.6275304555892944,-0.42347055673599243,0.07940000295639038
76,2.533333,0.1208171471953392,1.4406999349594116,-0.5640692114830017,0.06299028545618057,-0.6275304555892944,-0.42347055673599243,0.07940000295639038,0.1208171471953392,1.450852394104004,-0.5785127878189087,0.06299028545618057,-0.6275304555892944,-0.42167380452156067,0.07940000295639038
77,2.566667,0.1208171471953392,1.450852394104004,-0.5785127878189087,0.06299028545618057,-0.6275304555892944,-0.42167380452156067,0.07940000295639038,0.1208171471953392,1.4636213779449463,-0.5877581238746643,0.06299028545618057,-0.6289085149765015,-0.42181336879730225,0.07940000295639038
78,2.600000,0.1208171471953392,1.4636213779449463,-0.5877581238746643,0.06299028545618057,-0.6289085149765015,-0.42181336879730225,0.07940000295639038,0.1208171471953392,1.4757798910140991,-0.6001259088516235,0.06299028545618057,-0.6289085149765015,-0.42181336879730225,0.07940000295639038
79,2.633333,0.1208171471953392,1.4757798910140991,-0.6001259088516235,0.06299028545618057,-0.6289085149765015,-0.42181336879730225,0.07940000295639038,0.1208171471953392,1.4896303415298462,-0.610417902469635,0.06299028545618057,-0.6289085149765015,-0.41961541771888733,0.07940000295639038
80,2.666667,0.1208171471953392,1.4896303415298462,-0.610417902469635,0.06299028545618057,-0.6289085149765015,-0.41961541771888733,0.07940000295639038,0.1208171471953392,1.5061498880386353,-0.622768223285675,0.06299028545618057,-0.6289085149765015,-0.41961541771888733,0.07940000295639038
81,2.700000,0.1208171471953392,1.5061498880386353,-0.622768223285675,0.06299028545618057,-0.6289085149765015,-0.41961541771888733,0.07940000295639038,0.1208171471953392,1.5210645198822021,-0.6342289447784424,0.06299028545618057,-0.6289085149765015,-0.41961541771888733,0.07940000295639038
82,2.733333,0.1208171471953392,1.5210645198822021,-0.6342289447784424,0.06299028545618057,-0.6289085149765015,-0.41961541771888733,0.07940000295639038,0.1208171471953392,1.5359092950820923,-0.6483237147331238,0.06299028545618057,-0.6289085149765015,-0.41961541771888733,0.07940000295639038
83,2.766667,0.1208171471953392,1.5359092950820923,-0.6483237147331238,0.06299028545618057,-0.6289085149765015,-0.41961541771888733,0.07940000295639038,0.1208171471953392,1.5507192611694336,-0.6613718271255493,0.06299028545618057,-0.6289085149765015,-0.41961541771888733,0.07900000363588333
84,2.800000,0.1208171471953392,1.5507192611694336,-0.6613718271255493,0.06299028545618057,-0.6289085149765015,-0.41961541771888733,0.07900000363588333,0.1208171471953392,1.5668723583221436,-0.6740012764930725,0.06299028545618057,-0.6289085149765015,-0.41961541771888733,0.07750000059604645
85,2.833333,0.1208171471953392,1.5668723583221436,-0.6740012764930725,0.06299028545618057,-0.6289085149765015,-0.41961541771888733,0.07750000059604645,0.1208171471953392,1.5795018672943115,-0.6850782036781311,0.06299028545618057,-0.6289085149765015,-0.41961541771888733,0.07440000027418137
86,2.866667,0.1208171471953392,1.5795018672943115,-0.6850782036781311,0.06299028545618057,-0.6289085149765015,-0.41961541771888733,0.07440000027418137,0.1208171471953392,1.5919568538665771,-0.6953178644180298,0.06299028545618057,-0.6289085149765015,-0.41961541771888733,0.06870000064373016
